name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year,Filler
AMC Ambassador Brougham,0.278969957,1,0.791208791,0.760869565,0.743385214,0.443548387,0.890243902,0.278969957
AMC Ambassador DPL,0.321888412,1,0.857142857,0.826086957,0.749027237,0.342741935,0.853658537,0.321888412
AMC Ambassador SST,0.364806867,1,0.668131868,0.652173913,0.714396887,0.463709677,0.87804878,0.364806867
AMC Concord DL 6,0.433476395,0.75,0.50989011,0.391304348,0.635214008,0.733870968,0.963414634,0.433476395
AMC Concord DL,0.388412017,0.75,0.567032967,0.52173913,0.663424125,0.608870968,0.951219512,0.388412017
AMC Concord DL,0.493562232,0.5,0.331868132,0.15,0.590466926,0.826612903,1,0.493562232
AMC Concord,0.416309013,0.75,0.50989011,0.391304348,0.624513619,0.693548387,0.951219512,0.416309013
AMC Concord,0.521459227,0.5,0.331868132,0.391304348,0.584241245,0.810483871,0.975609756,0.521459227
AMC Gremlin,0.386266094,0.75,0.50989011,0.434782609,0.542607004,0.60483871,0.890243902,0.386266094
AMC Gremlin,0.407725322,0.75,0.50989011,0.434782609,0.512451362,0.524193548,0.865853659,0.407725322
AMC Gremlin,0.429184549,0.75,0.50989011,0.434782609,0.56692607,0.64516129,0.914634146,0.429184549
AMC Gremlin,0.450643777,0.75,0.437362637,0.391304348,0.515175097,0.60483871,0.853658537,0.450643777
AMC Hornet Sportabout (Wagon),0.386266094,0.75,0.567032967,0.47826087,0.576264591,0.544354839,0.865853659,0.386266094
AMC Hornet,0.386266094,0.75,0.437362637,0.42173913,0.539688716,0.625,0.853658537,0.386266094
AMC Hornet,0.386266094,0.75,0.50989011,0.434782609,0.572957198,0.64516129,0.890243902,0.386266094
AMC Hornet,0.407725322,0.75,0.50989011,0.434782609,0.564396887,0.64516129,0.902439024,0.407725322
AMC Hornet,0.482832618,0.75,0.50989011,0.391304348,0.600194553,0.709677419,0.926829268,0.482832618
AMC Matador (Wagon),0.300429185,1,0.668131868,0.652173913,0.828210117,0.625,0.902439024,0.300429185
AMC Matador (Wagon),0.321888412,1,0.668131868,0.652173913,0.757198444,0.504032258,0.87804878,0.321888412
AMC Matador,0.300429185,1,0.668131868,0.652173913,0.714396887,0.463709677,0.890243902,0.300429185
AMC Matador,0.321888412,0.75,0.567032967,0.47826087,0.725680934,0.766129032,0.914634146,0.321888412
AMC Matador,0.332618026,1,0.668131868,0.52173913,0.770817121,0.560483871,0.926829268,0.332618026
AMC Matador,0.343347639,0.75,0.567032967,0.47826087,0.706614786,0.725806452,0.902439024,0.343347639
AMC Matador,0.386266094,0.75,0.50989011,0.434782609,0.639688716,0.625,0.865853659,0.386266094
AMC Pacer D/L,0.375536481,0.75,0.567032967,0.413043478,0.621206226,0.717741935,0.926829268,0.375536481
AMC Pacer,0.407725322,0.75,0.50989011,0.391304348,0.624708171,0.685483871,0.914634146,0.407725322
AMC Rebel SST (Wagon),0.15,1,0.791208791,0.760869565,0.749027237,0.443548387,0.853658537,0.15
AMC Rebel SST,0.343347639,1,0.668131868,0.652173913,0.667898833,0.483870968,0.853658537,0.343347639
AMC Spirit DL,0.587982833,0.5,0.265934066,0.347826087,0.519455253,0.60483871,0.963414634,0.587982833
Audi 100 LS,0.429184549,0.5,0.250549451,0.395652174,0.50233463,0.564516129,0.890243902,0.429184549
Audi 100 LS,0.493562232,0.5,0.252747253,0.413043478,0.524124514,0.60483871,0.914634146,0.493562232
Audi 100 LS,0.515021459,0.5,0.235164835,0.391304348,0.472762646,0.584677419,0.853658537,0.515021459
Audi 4000,0.736051502,0.5,0.213186813,0.339130435,0.425680934,0.637096774,0.975609756,0.736051502
Audi 5000,0.435622318,0.625,0.287912088,0.447826087,0.550583658,0.641129032,0.951219512,0.435622318
Audi 5000S (Diesel),0.78111588,0.625,0.265934066,0.291304348,0.573929961,0.802419355,0.975609756,0.78111588
Audi Fox,0.622317597,0.5,0.215384615,0.360869565,0.431712062,0.665322581,0.902439024,0.622317597
BMW 2002,0.557939914,0.5,0.265934066,0.491304348,0.43463035,0.504032258,0.853658537,0.557939914
BMW 320i,0.461373391,0.5,0.265934066,0.47826087,0.505836576,0.516129032,0.93902439,0.461373391
Buick Century 350,0.278969957,1,0.769230769,0.760869565,0.79766537,0.524193548,0.890243902,0.278969957
Buick Century Limited,0.536480687,0.75,0.397802198,0.47826087,0.572957198,0.661290323,1,0.536480687
Buick Century Luxus (Wagon),0.278969957,1,0.769230769,0.652173913,0.914202335,0.584677419,0.902439024,0.278969957
Buick Century Special,0.442060086,0.75,0.507692308,0.456521739,0.657587549,0.637096774,0.951219512,0.442060086
Buick Century,0.364806867,0.75,0.507692308,0.47826087,0.760116732,0.846774194,0.914634146,0.364806867
Buick Century,0.480686695,0.75,0.507692308,0.47826087,0.664396887,0.637096774,0.987804878,0.480686695
Buick Electra 225 Custom,0.25751073,1,1,0.97826087,0.963229572,0.443548387,0.890243902,0.25751073
Buick Estate Wagon (Wagon),0.300429185,1,1,0.97826087,0.600389105,0.403225806,0.853658537,0.300429185
Buick Estate Wagon (Wagon),0.362660944,1,0.769230769,0.673913043,0.848249027,0.600806452,0.963414634,0.362660944
Buick Lesabre Custom,0.278969957,1,0.769230769,0.673913043,0.875875486,0.544354839,0.87804878,0.278969957
Buick Opel Isuzu Deluxe,0.643776824,0.5,0.243956044,0.347826087,0.4192607,0.596774194,0.93902439,0.643776824
Buick Regal Sport Coupe (Turbo),0.379828326,0.75,0.507692308,0.717391304,0.670233463,0.540322581,0.951219512,0.379828326
Buick Skyhawk,0.450643777,0.75,0.507692308,0.47826087,0.591245136,0.60483871,0.914634146,0.450643777
Buick Skylark 320,0.321888412,1,0.769230769,0.717391304,0.71848249,0.463709677,0.853658537,0.321888412
Buick Skylark Limited,0.60944206,0.5,0.331868132,0.391304348,0.519455253,0.64516129,0.963414634,0.60944206
Buick Skylark,0.439914163,0.75,0.507692308,0.456521739,0.666342412,0.681451613,0.93902439,0.439914163
Buick Skylark,0.570815451,0.5,0.331868132,0.365217391,0.512645914,0.661290323,0.987804878,0.570815451
Cadillac Eldorado,0.493562232,1,0.769230769,0.543478261,0.758754864,0.701612903,0.963414634,0.493562232
Cadillac Seville,0.354077253,1,0.769230769,0.782608696,0.852140078,0.487903226,0.926829268,0.354077253
Chevroelt Chevelle Malibu,0.343347639,0.75,0.549450549,0.456521739,0.758171206,0.745967742,0.914634146,0.343347639
Chevrolet Bel Air,0.321888412,1,0.769230769,0.630434783,0.86381323,0.564516129,0.914634146,0.321888412
Chevrolet Camaro,0.579399142,0.5,0.331868132,0.391304348,0.573929961,0.697580645,1,0.579399142
Chevrolet Caprice Classic,0.278969957,1,0.879120879,0.652173913,0.86848249,0.483870968,0.890243902,0.278969957
Chevrolet Caprice Classic,0.364806867,1,0.67032967,0.565217391,0.747081712,0.620967742,0.963414634,0.364806867
Chevrolet Caprice Classic,0.375536481,1,0.67032967,0.630434783,0.754863813,0.504032258,0.93902439,0.375536481
Chevrolet Cavalier 2-Door,0.729613734,0.5,0.246153846,0.382608696,0.465953307,0.725806452,1,0.729613734
Chevrolet Cavalier Wagon,0.579399142,0.5,0.246153846,0.382608696,0.513618677,0.75,1,0.579399142
Chevrolet Cavalier,0.600858369,0.5,0.246153846,0.382608696,0.506809339,0.790322581,1,0.600858369
Chevrolet Chevelle Concours (Wagon),0.15,1,0.769230769,0.717391304,0.805836576,0.463709677,0.853658537,0.15
Chevrolet Chevelle Concours (Wagon),0.278969957,1,0.674725275,0.565217391,0.797276265,0.564516129,0.87804878,0.278969957
Chevrolet Chevelle Malibu Classic,0.343347639,0.75,0.549450549,0.434782609,0.735603113,0.685483871,0.902439024,0.343347639
Chevrolet Chevelle Malibu Classic,0.375536481,1,0.67032967,0.608695652,0.820038911,0.524193548,0.926829268,0.375536481
Chevrolet Chevelle Malibu,0.364806867,0.75,0.549450549,0.434782609,0.64766537,0.625,0.865853659,0.364806867
Chevrolet Chevelle Malibu,0.386266094,1,0.674725275,0.565217391,0.681712062,0.483870968,0.853658537,0.386266094
Chevrolet Chevette,0.622317597,0.5,0.186813187,0.226086957,0.395914397,0.89516129,0.926829268,0.622317597
Chevrolet Chevette,0.643776824,0.5,0.215384615,0.295652174,0.4192607,0.665322581,0.951219512,0.643776824
Chevrolet Chevette,0.654506438,0.5,0.215384615,0.273913043,0.399027237,0.685483871,0.93902439,0.654506438
Chevrolet Chevette,0.688841202,0.5,0.215384615,0.304347826,0.412451362,0.625,0.975609756,0.688841202
Chevrolet Citation,0.504291845,0.75,0.38021978,0.47826087,0.530155642,0.508064516,0.987804878,0.504291845
Chevrolet Citation,0.600858369,0.5,0.331868132,0.391304348,0.521011673,0.665322581,0.975609756,0.600858369
Chevrolet Citation,0.618025751,0.75,0.38021978,0.5,0.504863813,0.455645161,0.963414634,0.618025751
Chevrolet Concours,0.375536481,0.75,0.549450549,0.47826087,0.684824903,0.661290323,0.93902439,0.375536481
Chevrolet Impala,0.236051502,1,0.879120879,0.652173913,0.972178988,0.564516129,0.890243902,0.236051502
Chevrolet Impala,0.278969957,1,0.769230769,0.717391304,0.83151751,0.483870968,0.87804878,0.278969957
Chevrolet Impala,0.300429185,1,0.769230769,0.717391304,0.818871595,0.483870968,0.865853659,0.300429185
Chevrolet Impala,0.300429185,1,0.997802198,0.956521739,0.847081712,0.362903226,0.853658537,0.300429185
Chevrolet Malibu Classic (Wagon),0.412017167,1,0.586813187,0.543478261,0.701361868,0.60483871,0.963414634,0.412017167
Chevrolet Malibu,0.278969957,1,0.769230769,0.630434783,0.775875486,0.524193548,0.890243902,0.278969957
Chevrolet Malibu,0.439914163,0.75,0.43956044,0.413043478,0.61381323,0.733870968,0.951219512,0.439914163
Chevrolet Monte Carlo Landau,0.332618026,1,0.769230769,0.739130435,0.810311284,0.459677419,0.93902439,0.332618026
Chevrolet Monte Carlo Landau,0.412017167,1,0.67032967,0.630434783,0.666342412,0.532258065,0.951219512,0.412017167
Chevrolet Monte Carlo S,0.321888412,1,0.769230769,0.630434783,0.794163424,0.524193548,0.890243902,0.321888412
Chevrolet Monte Carlo,0.321888412,1,0.879120879,0.652173913,0.731712062,0.383064516,0.853658537,0.321888412
Chevrolet Monza 2+2,0.429184549,1,0.575824176,0.47826087,0.626653696,0.544354839,0.914634146,0.429184549
Chevrolet Nova Custom,0.343347639,0.75,0.549450549,0.434782609,0.637743191,0.725806452,0.890243902,0.343347639
Chevrolet Nova,0.321888412,0.75,0.549450549,0.434782609,0.649027237,0.685483871,0.902439024,0.321888412
Chevrolet Nova,0.386266094,0.75,0.549450549,0.456521739,0.672957198,0.64516129,0.914634146,0.386266094
Chevrolet Nova,0.472103004,0.75,0.549450549,0.456521739,0.65233463,0.584677419,0.926829268,0.472103004
Chevrolet Vega (Wagon),0.472103004,0.5,0.307692308,0.313043478,0.46848249,0.766129032,0.865853659,0.472103004
Chevrolet Vega 2300,0.600858369,0.5,0.307692308,0.391304348,0.440466926,0.625,0.865853659,0.600858369
Chevrolet Vega,0.429184549,0.5,0.307692308,0.391304348,0.46848249,0.786290323,0.87804878,0.429184549
Chevrolet Vega,0.450643777,0.5,0.307692308,0.313043478,0.467120623,0.786290323,0.890243902,0.450643777
Chevrolet Vega,0.536480687,0.5,0.307692308,0.326086957,0.494552529,0.685483871,0.902439024,0.536480687
Chevrolet Woody,0.525751073,0.5,0.215384615,0.260869565,0.421011673,0.891129032,0.926829268,0.525751073
Chevy C10,0.278969957,1,0.769230769,0.630434783,0.788910506,0.483870968,0.926829268,0.278969957
Chevy C20,0.214592275,1,0.674725275,0.869565217,0.851361868,0.60483871,0.853658537,0.214592275
Chevy S-10,0.665236052,0.5,0.261538462,0.356521739,0.529182879,0.782258065,1,0.665236052
Chrysler Cordoba,0.332618026,1,0.879120879,0.826086957,0.841439689,0.491935484,0.93902439,0.332618026
Chrysler Lebaron Medallion,0.557939914,0.5,0.342857143,0.4,0.502918288,0.584677419,1,0.557939914
Chrysler Lebaron Salon,0.377682403,0.75,0.494505495,0.369565217,0.674124514,0.669354839,0.987804878,0.377682403
Chrysler Lebaron Town & Country (Wagon),0.396995708,1,0.791208791,0.652173913,0.766536965,0.524193548,0.963414634,0.396995708
Chrysler New Yorker Brougham,0.278969957,1,0.967032967,0.934782609,0.921206226,0.443548387,0.890243902,0.278969957
Chrysler Newport Royal,0.278969957,1,0.879120879,0.826086957,0.860311284,0.504032258,0.87804878,0.278969957
Citroen DS-21 Pallas,0.15,0.5,0.292307692,0.5,0.601167315,0.705645161,0.853658537,0.15
Datsun 1200,0.751072961,0.5,0.158241758,0.3,0.31381323,0.725806452,0.865853659,0.751072961
Datsun 200SX,0.512875536,0.5,0.261538462,0.42173913,0.467898833,0.600806452,0.951219512,0.512875536
Datsun 200SX,0.706008584,0.5,0.261538462,0.434782609,0.508754864,0.596774194,0.987804878,0.706008584
Datsun 210,0.682403433,0.5,0.186813187,0.282608696,0.392996109,0.774193548,0.963414634,0.682403433
Datsun 210,0.793991416,0.5,0.186813187,0.282608696,0.384241245,0.782258065,0.987804878,0.793991416
Datsun 210,0.875536481,0.5,0.186813187,0.282608696,0.410505837,0.774193548,0.975609756,0.875536481
Datsun 280ZX,0.701716738,0.75,0.369230769,0.573913043,0.56614786,0.459677419,0.975609756,0.701716738
Datsun 310 GX,0.815450644,0.5,0.2,0.291304348,0.388132296,0.653225806,1,0.815450644
Datsun 310,0.798283262,0.5,0.189010989,0.282608696,0.392801556,0.661290323,0.975609756,0.798283262
Datsun 510 (Wagon),0.600858369,0.5,0.213186813,0.4,0.445136187,0.685483871,0.87804878,0.600858369
Datsun 510 Hatchback,0.793991416,0.5,0.261538462,0.4,0.473540856,0.60483871,0.975609756,0.793991416
Datsun 510,0.583690987,0.5,0.261538462,0.42173913,0.447470817,0.592741935,0.951219512,0.583690987
Datsun 610,0.472103004,0.5,0.237362637,0.408695652,0.462840467,0.665322581,0.890243902,0.472103004
Datsun 710,0.515021459,0.5,0.261538462,0.42173913,0.495136187,0.685483871,0.914634146,0.515021459
Datsun 710,0.686695279,0.5,0.182417582,0.265217391,0.389688716,0.766129032,0.902439024,0.686695279
Datsun 810 Maxima,0.519313305,0.75,0.320879121,0.52173913,0.570038911,0.556451613,0.987804878,0.519313305
Datsun 810,0.472103004,0.75,0.320879121,0.42173913,0.54766537,0.584677419,0.93902439,0.472103004
Datsun B-210,0.686695279,0.5,0.186813187,0.304347826,0.387159533,0.685483871,0.926829268,0.686695279
Datsun B210 GX,0.845493562,0.5,0.186813187,0.304347826,0.402723735,0.75,0.951219512,0.845493562
Datsun B210,0.665236052,0.5,0.173626374,0.291304348,0.379377432,0.766129032,0.902439024,0.665236052
Datsun F-10 Hatchback,0.71888412,0.5,0.186813187,0.304347826,0.378404669,0.677419355,0.93902439,0.71888412
Datsun PL510,0.579399142,0.5,0.213186813,0.382608696,0.414396887,0.584677419,0.853658537,0.579399142
Datsun PL510,0.579399142,0.5,0.213186813,0.382608696,0.414396887,0.584677419,0.865853659,0.579399142
Dodge Aries SE,0.622317597,0.5,0.296703297,0.365217391,0.491245136,0.64516129,1,0.622317597
Dodge Aries Wagon (Wagon),0.553648069,0.5,0.342857143,0.4,0.509727626,0.580645161,0.987804878,0.553648069
Dodge Aspen 6,0.442060086,0.75,0.494505495,0.47826087,0.653696498,0.669354839,0.963414634,0.442060086
Dodge Aspen SE,0.429184549,0.75,0.494505495,0.434782609,0.710311284,0.713709677,0.926829268,0.429184549
Dodge Aspen,0.399141631,0.75,0.494505495,0.47826087,0.704280156,0.754032258,0.951219512,0.399141631
Dodge Aspen,0.409871245,0.75,0.494505495,0.391304348,0.657782101,0.754032258,0.975609756,0.409871245
Dodge Challenger SE,0.321888412,1,0.841758242,0.739130435,0.693190661,0.403225806,0.853658537,0.321888412
Dodge Charger 2.2,0.772532189,0.5,0.296703297,0.365217391,0.461089494,0.524193548,1,0.772532189
Dodge Colt (Wagon),0.600858369,0.5,0.215384615,0.347826087,0.421011673,0.60483871,0.87804878,0.600858369
Dodge Colt Hardtop,0.536480687,0.5,0.214285714,0.347826087,0.413618677,0.685483871,0.87804878,0.536480687
Dodge Colt Hatchback Custom,0.766094421,0.5,0.215384615,0.347826087,0.372568093,0.580645161,0.963414634,0.766094421
Dodge Colt M/M,0.71888412,0.5,0.215384615,0.360869565,0.403696498,0.641129032,0.93902439,0.71888412
Dodge Colt,0.557939914,0.5,0.215384615,0.343478261,0.438715953,0.713709677,0.926829268,0.557939914
Dodge Colt,0.598712446,0.5,0.342857143,0.456521739,0.544747082,0.580645161,0.975609756,0.598712446
Dodge Colt,0.600858369,0.5,0.197802198,0.326086957,0.413424125,0.584677419,0.902439024,0.600858369
Dodge Coronet Brougham,0.343347639,1,0.698901099,0.652173913,0.815175097,0.524193548,0.926829268,0.343347639
Dodge Coronet Custom (Wagon),0.300429185,1,0.698901099,0.652173913,0.867120623,0.544354839,0.902439024,0.300429185
Dodge Coronet Custom,0.321888412,1,0.698901099,0.652173913,0.734824903,0.504032258,0.890243902,0.321888412
Dodge D100,0.278969957,1,0.698901099,0.652173913,0.730544747,0.564516129,0.926829268,0.278969957
Dodge D200,0.236051502,1,0.698901099,0.913043478,0.852529183,0.544354839,0.853658537,0.236051502
Dodge Dart Custom,0.321888412,1,0.698901099,0.652173913,0.661284047,0.443548387,0.890243902,0.321888412
Dodge Diplomat,0.416309013,1,0.698901099,0.608695652,0.726653696,0.532258065,0.951219512,0.416309013
Dodge Magnum XE,0.375536481,1,0.698901099,0.608695652,0.793774319,0.552419355,0.951219512,0.375536481
Dodge Monaco (Wagon),0.25751073,1,0.841758242,0.782608696,0.964007782,0.463709677,0.865853659,0.25751073
Dodge Monaco Brougham,0.332618026,1,0.698901099,0.630434783,0.805447471,0.552419355,0.93902439,0.332618026
Dodge Omni,0.663090129,0.5,0.230769231,0.326086957,0.43385214,0.584677419,0.951219512,0.663090129
Dodge Rampage,0.686695279,0.5,0.296703297,0.365217391,0.446498054,0.467741935,1,0.686695279
Dodge St. Regis,0.39055794,1,0.698901099,0.586956522,0.745136187,0.612903226,0.963414634,0.39055794
Fiat 124 Sport Coupe,0.557939914,0.5,0.215384615,0.391304348,0.440661479,0.625,0.890243902,0.557939914
Fiat 124 TC,0.557939914,0.5,0.254945055,0.326086957,0.436964981,0.564516129,0.902439024,0.557939914
Fiat 124B,0.643776824,0.5,0.193406593,0.330434783,0.401750973,0.584677419,0.865853659,0.643776824
Fiat 128,0.515021459,0.5,0.197802198,0.326086957,0.410116732,0.625,0.902439024,0.515021459
Fiat 128,0.622317597,0.5,0.149450549,0.213043478,0.363229572,0.786290323,0.890243902,0.622317597
Fiat 131,0.600858369,0.5,0.235164835,0.373913043,0.479377432,0.625,0.926829268,0.600858369
Fiat Strada Custom,0.800429185,0.5,0.2,0.3,0.414396887,0.592741935,0.963414634,0.800429185
Fiat X1.9,0.665236052,0.5,0.173626374,0.291304348,0.389105058,0.64516129,0.902439024,0.665236052
Ford Capri II,0.536480687,0.5,0.307692308,0.4,0.500389105,0.600806452,0.926829268,0.536480687
Ford Country Squire (Wagon),0.278969957,1,0.879120879,0.739130435,0.923346304,0.483870968,0.865853659,0.278969957
Ford Country Squire (Wagon),0.332618026,1,0.771428571,0.617391304,0.788715953,0.576612903,0.963414634,0.332618026
Ford Country,0.25751073,1,0.879120879,0.726086957,0.954474708,0.504032258,0.890243902,0.25751073
Ford Escort 2H,0.641630901,0.5,0.215384615,0.282608696,0.463035019,0.834677419,0.987804878,0.641630901
Ford Escort 4W,0.738197425,0.5,0.215384615,0.282608696,0.397859922,0.653225806,0.987804878,0.738197425
Ford F108,0.278969957,1,0.663736264,0.565217391,0.752918288,0.60483871,0.926829268,0.278969957
Ford F250,0.214592275,1,0.791208791,0.934782609,0.897859922,0.564516129,0.853658537,0.214592275
Ford Fairmont (Auto),0.433476395,0.75,0.43956044,0.369565217,0.576848249,0.637096774,0.951219512,0.433476395
Ford Fairmont (Man),0.538626609,0.5,0.307692308,0.382608696,0.529182879,0.620967742,0.951219512,0.538626609
Ford Fairmont 4,0.478540773,0.5,0.307692308,0.382608696,0.562256809,0.697580645,0.963414634,0.478540773
Ford Fairmont Futura,0.515021459,0.5,0.307692308,0.4,0.557392996,0.661290323,1,0.515021459
Ford Fairmont,0.566523605,0.5,0.307692308,0.382608696,0.558365759,0.72983871,0.975609756,0.566523605
Ford Fiesta,0.774678112,0.5,0.215384615,0.286956522,0.350194553,0.580645161,0.951219512,0.774678112
Ford Futura,0.388412017,1,0.663736264,0.604347826,0.623540856,0.451612903,0.951219512,0.388412017
Ford Galaxie 500,0.300429185,1,0.771428571,0.665217391,0.803307393,0.524193548,0.87804878,0.300429185
Ford Galaxie 500,0.300429185,1,0.771428571,0.665217391,0.808171206,0.544354839,0.865853659,0.300429185
Ford Galaxie 500,0.321888412,1,0.942857143,0.860869565,0.844552529,0.403225806,0.853658537,0.321888412
Ford Gran Torino (Wagon),0.278969957,1,0.663736264,0.608695652,0.83540856,0.64516129,0.87804878,0.278969957
Ford Gran Torino (Wagon),0.300429185,1,0.663736264,0.608695652,0.90233463,0.64516129,0.902439024,0.300429185
Ford Gran Torino,0.300429185,1,0.663736264,0.595652174,0.786381323,0.584677419,0.890243902,0.300429185
Ford Gran Torino,0.311158798,1,0.771428571,0.660869565,0.820038911,0.516129032,0.926829268,0.311158798
Ford Gran Torino,0.343347639,1,0.663736264,0.608695652,0.805642023,0.564516129,0.902439024,0.343347639
Ford Granada Ghia,0.386266094,0.75,0.549450549,0.339130435,0.695330739,0.846774194,0.926829268,0.386266094
Ford Granada GL,0.433476395,0.75,0.43956044,0.382608696,0.595330739,0.689516129,0.987804878,0.433476395
Ford Granada L,0.472103004,0.75,0.50989011,0.486956522,0.55155642,0.592741935,1,0.472103004
Ford Granada,0.396995708,0.75,0.549450549,0.426086957,0.685797665,0.766129032,0.93902439,0.396995708
Ford LTD Landau,0.377682403,1,0.663736264,0.560869565,0.724708171,0.540322581,0.963414634,0.377682403
Ford LTD,0.278969957,1,0.771428571,0.686956522,0.848832685,0.524193548,0.890243902,0.278969957
Ford LTD,0.300429185,1,0.771428571,0.643478261,0.906031128,0.544354839,0.914634146,0.300429185
Ford Maverick,0.321888412,0.75,0.549450549,0.313043478,0.614396887,0.786290323,0.914634146,0.321888412
